,Longitude,Latitude
662,-79.9447828409,40.4410377426
663,-79.9447771752,40.4410366111
664,-79.9447715094,40.4410354796
665,-79.9447658436,40.4410343481
666,-79.9447601778,40.4410332166
667,-79.944754512,40.4410320851
668,-79.9447488462,40.4410309536
669,-79.9447431804,40.4410298221
670,-79.9447375147,40.4410286906
671,-79.9447318489,40.4410275591
672,-79.9447261831,40.4410264276
673,-79.9447205173,40.4410252961
674,-79.9447148515,40.4410241646
675,-79.9447091857,40.4410230331
676,-79.94470352,40.4410219016
677,-79.9446978542,40.44102077
678,-79.9446921884,40.4410196385
679,-79.9446865226,40.441018507
680,-79.9446808568,40.4410173755
681,-79.944675191,40.441016244
682,-79.9446695253,40.4410151125
683,-79.9446638595,40.441013981
684,-79.9446581937,40.4410128495
685,-79.9446525279,40.441011718
686,-79.9446468621,40.4410105865
687,-79.9446411963,40.441009455
688,-79.9446355306,40.4410083235
689,-79.9446298648,40.441007192
690,-79.944624199,40.4410060605
691,-79.9446185332,40.441004929
692,-79.9446128674,40.4410037974
693,-79.9446072016,40.4410026659
694,-79.9446015359,40.4410015344
695,-79.9445958701,40.4410004029
696,-79.9445902043,40.4409992714
697,-79.9445845385,40.4409981399
698,-79.9445788727,40.4409970084
699,-79.944573207,40.4409958769
700,-79.9445675412,40.4409947454
701,-79.9445618754,40.4409936139
702,-79.9445575631,40.4409927533
703,-79.9445558753,40.4409924204
704,-79.9445541874,40.4409920875
705,-79.9445524995,40.4409917546
706,-79.9445508117,40.4409914217
707,-79.9445491238,40.4409910888
708,-79.944547436,40.4409907559
709,-79.9445457481,40.440990423
710,-79.9445440603,40.4409900901
711,-79.9445423724,40.4409897572
712,-79.9445406846,40.4409894243
713,-79.9445389967,40.4409890914
714,-79.9445373088,40.4409887585
715,-79.944535621,40.4409884256
716,-79.9445339331,40.4409880927
717,-79.9445322453,40.4409877598
718,-79.9445305574,40.4409874269
719,-79.9445288696,40.440987094
720,-79.9445271817,40.4409867611
721,-79.9445254939,40.4409864282
722,-79.944523806,40.4409860953
723,-79.9445221182,40.4409857624
724,-79.9445204303,40.4409854296
725,-79.9445187424,40.4409850967
726,-79.9445170546,40.4409847638
727,-79.9445153667,40.4409844309
728,-79.9445136789,40.440984098
729,-79.944511991,40.4409837651
730,-79.9445103032,40.4409834322
731,-79.9445086153,40.4409830993
732,-79.9445069275,40.4409827664
733,-79.9445052396,40.4409824335
734,-79.9445035517,40.4409821006
735,-79.9445018639,40.4409817677
736,-79.944500176,40.4409814348
737,-79.9444984882,40.4409811019
738,-79.9444968003,40.440980769
739,-79.9444951125,40.4409804361
740,-79.9444934246,40.4409801032
741,-79.9444917368,40.4409797703
742,-79.9444900489,40.4409794374
743,-79.9444883611,40.4409791045
744,-79.9444866732,40.4409787716
745,-79.9444849853,40.4409784387
746,-79.9444832975,40.4409781058
747,-79.9444816096,40.4409777729
748,-79.9444799218,40.44097744
749,-79.9444782339,40.4409771071
750,-79.9444765461,40.4409767742
751,-79.9444748582,40.4409764413
752,-79.9444731704,40.4409761084
753,-79.9444714825,40.4409757755
754,-79.9444697947,40.4409754427
755,-79.9444681068,40.4409751098
756,-79.9444664189,40.4409747769
757,-79.9444647311,40.440974444
758,-79.9444630432,40.4409741111
759,-79.9444613554,40.4409737782
760,-79.9444596675,40.4409734453
761,-79.9444579797,40.4409731124
762,-79.9444562918,40.4409727795
763,-79.944454604,40.4409724466
764,-79.9444529161,40.4409721137
765,-79.9444512283,40.4409717808
766,-79.9444495404,40.4409714479
767,-79.9444478525,40.440971115
768,-79.9444461647,40.4409707821
769,-79.9444444768,40.4409704492
770,-79.944442789,40.4409701163
771,-79.9444411011,40.4409697834
772,-79.9444394133,40.4409694505
773,-79.9444377254,40.4409691176
774,-79.9444360376,40.4409687847
775,-79.9444343497,40.4409684518
776,-79.9444326619,40.4409681189
777,-79.944430974,40.440967786
778,-79.9444292861,40.4409674531
779,-79.9444275983,40.4409671202
780,-79.9444259104,40.4409667873
781,-79.9444242226,40.4409664544
782,-79.9444225347,40.4409661215
783,-79.9444208469,40.4409657886
784,-79.944419159,40.4409654558
785,-79.9444174712,40.4409651229
786,-79.9444157833,40.44096479
787,-79.9444140955,40.4409644571
788,-79.9444124076,40.4409641242
789,-79.9444107197,40.4409637913
790,-79.9444090319,40.4409634584
791,-79.944407344,40.4409631255
792,-79.9444056562,40.4409627926
793,-79.9444039683,40.4409624597
794,-79.9444022805,40.4409621268
795,-79.9444005926,40.4409617939
796,-79.9443989048,40.440961461
797,-79.9443972169,40.4409611281
798,-79.9443955291,40.4409607952
799,-79.9443938412,40.4409604623
800,-79.9443921533,40.4409601294
801,-79.9443904655,40.4409597965
802,-79.9443887776,40.4409594636
803,-79.9443870898,40.4409591307
804,-79.9443854019,40.4409587978
805,-79.9443837141,40.4409584649
806,-79.9443820262,40.440958132
807,-79.9443803384,40.4409577991
808,-79.9443786505,40.4409574662
809,-79.9443769627,40.4409571333
810,-79.9443752748,40.4409568004
811,-79.9443735869,40.4409564675
812,-79.9443718991,40.4409561346
813,-79.9443702112,40.4409558018
814,-79.9443685234,40.4409554689
815,-79.9443668355,40.440955136
816,-79.9443651477,40.4409548031
817,-79.9443634598,40.4409544702
818,-79.944361772,40.4409541373
819,-79.9443600841,40.4409538044
820,-79.9443583963,40.4409534715
821,-79.9443567084,40.4409531386
822,-79.9443550206,40.4409528057
823,-79.9443533327,40.4409524728
824,-79.9443516448,40.4409521399
825,-79.944349957,40.440951807
826,-79.9443482691,40.4409514741
827,-79.9443465813,40.4409511412
828,-79.9443448934,40.4409508083
829,-79.9443432056,40.4409504754
